plot,Species,leafBM,stemBM,base_diam,height
95,PHYMAL,13.62,2.95,10.61,84
125,PHYMAL,10.66,1.83,10.93,109
1051,PHYMAL,10.49,3.07,18.75,79
131,PHYMAL,10.38,6.29,11.02,101
91,PHYMAL,10.38,6.26,18,70
1055,PHYMAL,10.22,1.63,10.53,86
1094,PHYMAL,9.56,5.43,7.91,64
123,PHYMAL,9.4,4.12,11.02,114
1018,PHYMAL,8.37,1.99,17.38,80
724,PHYMAL,8.29,8.18,10.07,72
1053,PHYMAL,7.43,15.66,13.78,80
1016,PHYMAL,7.21,0.84,11.83,82
1083,PHYMAL,7.07,2.86,9.68,92
725,PHYMAL,6.59,14.5,7.27,53
122,PHYMAL,6.32,1.08,9.43,94
728,PHYMAL,6.13,15.51,6.12,44
1044,PHYMAL,5.37,4.84,6.42,87
94,PHYMAL,5.31,1.43,7.98,97
1042,PHYMAL,5.04,1.32,8.06,57
505,PHYMAL,4.99,5.97,3.53,58
1039,PHYMAL,4.71,2.03,10.41,73.4
134,PHYMAL,4.69,2.04,10.87,84
1017,PHYMAL,4.16,1.63,10.81,75
1041,PHYMAL,4.06,3.49,7.48,49
1037,PHYMAL,3.96,4.59,8.33,86
1092,PHYMAL,3.67,4,4.09,44
1085,PHYMAL,3.55,0.95,5.2,55
92,PHYMAL,3.45,2.36,6.01,66
1052,PHYMAL,3.44,0.84,7.07,64
1090,PHYMAL,3.39,4.27,11.96,59
1073,PHYMAL,3.37,0.91,6.59,42
1089,PHYMAL,3.18,3.05,11.73,42
1035,PHYMAL,2.95,3.6,4.11,41
1093,PHYMAL,2.9,1.48,5.02,67
1081,PHYMAL,2.45,0.16,4.81,36
1086,PHYMAL,2.43,2.84,5.52,48
132,PHYMAL,2.34,0.87,8.09,55
727,PHYMAL,2.31,9.59,8.39,54
1036,PHYMAL,2.24,3.38,9.39,63.9
1103,PHYMAL,1.73,1.2,7,56
179,PHYMAL,1.42,0.41,6.12,51
135,PHYMAL,1.4,1.4,10.69,52
93,PHYMAL,1.38,0.62,4.9,35
1082,PHYMAL,1.27,0.44,3.18,26
1084,PHYMAL,1.12,0.31,6.97,170
223,PHYMAL,0.88,0.09,3.61,30
1088,PHYMAL,0.58,0.92,3.47,35
133,PHYMAL,0.46,0.79,7.94,38
176,PHYMAL,0.39,0.18,4.48,40.5
