plot,Species,leafBM,stemBM,base_diam,height
7,SYMALB,1.11,0.36,4.78,39
71,SYMALB,0.8,0.8,5.05,24
72,SYMALB,1.39,0.68,3.45,26
73,SYMALB,1.74,0.34,3.1,45
74,SYMALB,0.61,0.08,6.32,14
75,SYMALB,0.62,0.07,3.74,33
147,SYMALB,4.11,0.61,9.26,73
303,SYMALB,1.8,0.38,6.17,34
338,SYMALB,3.87,0.74,4.11,31
146,SYMALB,0.16,0.06,3.45,21
148,SYMALB,1.15,0.26,6.69,32
149,SYMALB,9.1,1.29,14.12,42
150,SYMALB,2.55,1.28,5.95,49
161,SYMALB,0.2,0.04,1.87,22
162,SYMALB,0.56,0.09,4.69,32
307,SYMALB,0.88,0.19,2.6,20
300,SYMALB,2.27,1.41,4.53,40.5
671,SYMALB,0.77,0.07,3.15,28
674,SYMALB,0.45,0.08,2.4,20.3
677,SYMALB,1.4,0.27,2.61,26
498,SYMALB,2.17,0.9,5.12,38
672,SYMALB,2.97,0.55,6.03,59
675,SYMALB,2,0.65,4.8,46
301,SYMALB,1.52,0.23,4.71,39
306,SYMALB,1.14,0.28,5.4,23
473,SYMALB,0.83,0.88,4.83,37
673,SYMALB,1.23,0.12,3.69,39
529,SYMALB,2.59,0.43,5.43,35
528,SYMALB,0.56,0.14,3.46,37
460,SYMALB,0.98,0.28,4.55,38
462,SYMALB,4.42,0.85,7.62,96
466,SYMALB,2.41,1.17,5.2,48
467,SYMALB,0.75,0.44,4.07,41
468,SYMALB,1.12,0.16,4.52,36
619,SYMALB,0.31,0.16,1.76,24
646,SYMALB,1.37,0.21,4.56,42
648,SYMALB,2.31,0.59,6.19,88
649,SYMALB,1.26,0.53,5.56,74
605,SYMALB,2.47,0.48,12.54,70
569,SYMALB,2.77,1.55,5.75,74
141,SYMALB,1.41,0.59,3.78,51
145,SYMALB,2.08,0.3,4.25,56
461,SYMALB,4.38,1.29,13.97,112
571,SYMALB,1.02,0.19,4.58,48
594,SYMALB,1.58,0.53,5.13,65
459,SYMALB,0.83,0.11,3.84,32
175,SYMALB,1.98,0.66,15.9,54
581,SYMALB,2.54,1.35,6.48,69
173,SYMALB,0.89,0.19,4.88,33
447,SYMALB,0.32,0.11,4.25,39
580,SYMALB,1.02,0.31,5.44,42
27,SYMALB,1.7,0.6,5.71,49
633,SYMALB,8.7,2.83,14.58,96
449,SYMALB,2.37,0.48,4.21,38
448,SYMALB,1.57,0.4,6.21,61
570,SYMALB,0.63,0.11,2.26,31
573,SYMALB,2.39,0.54,6.58,37.5
575,SYMALB,0.67,0.28,5.46,44
700,SYMALB,1.57,0.25,4.19,22
702,SYMALB,1.16,0.3,3.89,30
709,SYMALB,3.13,1.3,6.39,43
711,SYMALB,0.62,0.09,4.18,32
712,SYMALB,2.33,0.4,4.67,28
713,SYMALB,1.46,0.26,6.3,32
720,SYMALB,0.71,0.18,3.66,27
723,SYMALB,0.96,0.27,2.86,27
789,SYMALB,0.66,0.08,6.23,53
791,SYMALB,0.96,0.08,3.53,33
793,SYMALB,1.39,0.33,4.47,37
794,SYMALB,3.03,0.6,5.31,40
795,SYMALB,1.33,0.17,4.24,25
797,SYMALB,1.21,0.3,3.99,27
800,SYMALB,5.77,1.19,5.41,42
802,SYMALB,4.3,0.88,3.83,31
848,SYMALB,3.03,0.63,6.06,45
889,SYMALB,0.97,0.47,3.4,41
894,SYMALB,3.18,1.05,5.66,52
912,SYMALB,0.9,0.4,2.93,39
913,SYMALB,4.38,0.63,4.48,37
