plot,Species,leafBM,stemBM,base_diam,height
147,VACMEM,2.51,0.74,7.37,51
5,VACMEM,0.95,0.22,3.89,36
5,VACMEM,0.15,0.37,2.77,18
162,VACMEM,1.2,0.4,4.7,33
245,VACMEM,0.74,1.08,4.37,20
246,VACMEM,0.64,0.97,3.78,35
266,VACMEM,0.95,0.32,4.19,26
268,VACMEM,0.27,0.16,5.67,31
269,VACMEM,0.24,0.2,2.94,16
646,VACMEM,2.58,0.63,6.45,47
616,VACMEM,1.5,0.61,5.69,41
606,VACMEM,1.32,1.18,4.56,30
605,VACMEM,2.43,0.6,7.1,58
66,VACMEM,3.6,1.62,5.85,56
567,VACMEM,4.07,3.97,8.58,61
459,VACMEM,2.09,0.7,4.62,43
634,VACMEM,1.67,0.55,4.78,41
509,VACMEM,3.02,0.93,6.45,54
511,VACMEM,0.63,0.16,4.1,29
512,VACMEM,2.58,0.82,5.63,49
426,VACMEM,1.07,0.36,4.63,33
425,VACMEM,1.49,0.71,4.27,32
29,VACMEM,1.54,0.48,5.71,41
10,VACMEM,0.74,0.23,4.52,27
593,VACMEM,2.14,0.69,6.41,74
208,VACMEM,1.41,0.65,4.49,31
427,VACMEM,2.85,0.68,5.15,49
27,VACMEM,1.42,0.27,8.07,56
429,VACMEM,2.02,0.78,8.09,46
26,VACMEM,2.12,0.63,8.3,32
633,VACMEM,5.22,2.64,6.12,50
210,VACMEM,1.96,0.83,5.21,41
609,VACMEM,2.83,1.88,6.97,30
25,VACMEM,4.4,1.92,16.45,72
109,VACMEM,1.08,0.59,3.56,35
108,VACMEM,0.65,0.84,3.77,36
267,VACMEM,0.49,0.44,3.5,20
734,VACMEM,3.14,1.21,7.78,38
736,VACMEM,1.51,0.9,6.52,41
790,VACMEM,1.94,1.19,7.03,35
799,VACMEM,1.86,1.51,6.04,36
845,VACMEM,2.67,2.04,7.31,38
868,VACMEM,1.33,0.45,4.3,29
891,VACMEM,1.63,1.26,6.3,34
892,VACMEM,1.57,1.27,7.85,41
896,VACMEM,1.13,1.33,4.23,32
